sample_id	patch_file	cve	library	repo	carrier_kind	dependency_group	dependency_artifact	source_case	validated
CVE-2016-1000031__apache__struts	patches/CVE-2016-1000031__apache__struts.patch	CVE-2016-1000031	apache-commons-fileupload	apache/struts	apache_downstream	commons-fileupload	commons-fileupload	apache-commons-fileupload/CVE-2016-1000031	True
CVE-2023-24998__apache__struts	patches/CVE-2023-24998__apache__struts.patch	CVE-2023-24998	apache-commons-fileupload	apache/struts	apache_downstream	commons-fileupload	commons-fileupload	apache-commons-fileupload/CVE-2023-24998	True
CVE-2021-29425__apache__tika	patches/CVE-2021-29425__apache__tika.patch	CVE-2021-29425	apache-commons-io	apache/tika	apache_downstream	commons-io	commons-io	apache-commons-io/CVE-2021-29425	True
CVE-2024-47554__apache__tika	patches/CVE-2024-47554__apache__tika.patch	CVE-2024-47554	apache-commons-io	apache/tika	apache_downstream	commons-io	commons-io	apache-commons-io/CVE-2024-47554	True
CVE-2020-13933__apache__zeppelin	patches/CVE-2020-13933__apache__zeppelin.patch	CVE-2020-13933	apache-shiro	apache/zeppelin	apache_downstream	org.apache.shiro	shiro-core	apache-shiro/CVE-2020-13933	True
CVE-2022-40664__apache__zeppelin	patches/CVE-2022-40664__apache__zeppelin.patch	CVE-2022-40664	apache-shiro	apache/zeppelin	apache_downstream	org.apache.shiro	shiro-core	apache-shiro/CVE-2022-40664	True
CVE-2018-11776__apache__struts-examples	patches/CVE-2018-11776__apache__struts-examples.patch	CVE-2018-11776	apache-struts2	apache/struts-examples	apache_downstream	org.apache.struts	struts2-core	apache-struts2/CVE-2018-11776	True
CVE-2023-50164__apache__struts-examples	patches/CVE-2023-50164__apache__struts-examples.patch	CVE-2023-50164	apache-struts2	apache/struts-examples	apache_downstream	org.apache.struts	struts2-core	apache-struts2/CVE-2023-50164	True
CVE-2021-23926__apache__tika	patches/CVE-2021-23926__apache__tika.patch	CVE-2021-23926	apache-xmlbeans	apache/tika	apache_downstream	org.apache.xmlbeans	xmlbeans	apache-xmlbeans/CVE-2021-23926	True
CVE-2019-12086__apache__camel	patches/CVE-2019-12086__apache__camel.patch	CVE-2019-12086	jackson	apache/camel	apache_downstream	com.fasterxml.jackson.core	jackson-databind	jackson/CVE-2019-12086	True
CVE-2020-8840__apache__camel	patches/CVE-2020-8840__apache__camel.patch	CVE-2020-8840	jackson	apache/camel	apache_downstream	com.fasterxml.jackson.core	jackson-databind	jackson/CVE-2020-8840	True
CVE-2023-26049__apache__hadoop	patches/CVE-2023-26049__apache__hadoop.patch	CVE-2023-26049	jetty	apache/hadoop	apache_downstream	org.eclipse.jetty	jetty-server	jetty/CVE-2023-26049	True
CVE-2020-9488__apache__flink	patches/CVE-2020-9488__apache__flink.patch	CVE-2020-9488	log4j	apache/flink	apache_downstream	org.apache.logging.log4j	log4j-core	log4j/CVE-2020-9488	True
CVE-2021-44228__apache__flink	patches/CVE-2021-44228__apache__flink.patch	CVE-2021-44228	log4j	apache/flink	apache_downstream	org.apache.logging.log4j	log4j-core	log4j/CVE-2021-44228	True
CVE-2026-42584__apache__pulsar	patches/CVE-2026-42584__apache__pulsar.patch	CVE-2026-42584	netty	apache/pulsar	apache_downstream	io.netty	netty-codec-http	netty/CVE-2026-42584	True
CVE-2018-1000632__apache__hive	patches/CVE-2018-1000632__apache__hive.patch	CVE-2018-1000632	dom4j	apache/hive	apache_downstream	dom4j	dom4j	dom4j/CVE-2018-1000632	True
CVE-2020-10683__apache__hive	patches/CVE-2020-10683__apache__hive.patch	CVE-2020-10683	dom4j	apache/hive	apache_downstream	dom4j	dom4j	dom4j/CVE-2020-10683	True
CVE-2015-7501__apache__hive	patches/CVE-2015-7501__apache__hive.patch	CVE-2015-7501	apache-commons-collections	apache/hive	apache_downstream	org.apache.commons	commons-collections4	apache-commons-collections/CVE-2015-7501	True
CVE-2014-0114__jenkinsci__jenkins	patches/CVE-2014-0114__jenkinsci__jenkins.patch	CVE-2014-0114	apache-commons-beanutils	jenkinsci/jenkins	non_apache_downstream	commons-beanutils	commons-beanutils	apache-commons-beanutils/CVE-2014-0114	True
CVE-2019-10086__jenkinsci__jenkins	patches/CVE-2019-10086__jenkinsci__jenkins.patch	CVE-2019-10086	apache-commons-beanutils	jenkinsci/jenkins	non_apache_downstream	commons-beanutils	commons-beanutils	apache-commons-beanutils/CVE-2019-10086	True
